model,split,node,n_predictions,rmse,mae
naive_persistence,test,iv_x19_t16,422,0.0167416805804285,0.0119702090735688
naive_persistence,test,iv_x19_t17,418,0.0187103398131972,0.0129304648539809
naive_persistence,test,iv_x19_t18,261,0.0189424523462318,0.0122022971004562
naive_persistence,test,iv_x20_t01,172,0.0116398690846791,0.0068064400505983
naive_persistence,test,iv_x20_t02,397,0.0059751671258498,0.0042836707361695
naive_persistence,test,iv_x20_t03,422,0.0057586399280988,0.0041473777425318
naive_persistence,test,iv_x20_t04,422,0.0062121250822243,0.0045894557978115
naive_persistence,test,iv_x20_t05,422,0.0068191840581778,0.005029501701167
naive_persistence,test,iv_x20_t06,422,0.0074927282301051,0.0055424391160084
naive_persistence,test,iv_x20_t07,422,0.0082744741487044,0.0063014261718972
naive_persistence,test,iv_x20_t08,422,0.0088502974690068,0.0066342306822802
naive_persistence,test,iv_x20_t09,422,0.0095610281629574,0.0071805046683636
naive_persistence,test,iv_x20_t10,422,0.0101475205991789,0.0075859308556104
naive_persistence,test,iv_x20_t11,422,0.0111274132937586,0.0081111947886603
naive_persistence,test,iv_x20_t12,422,0.0120976686378338,0.0088546892067613
naive_persistence,test,iv_x20_t13,422,0.0128639169185566,0.0094456211106242
naive_persistence,test,iv_x20_t14,422,0.0135454473537919,0.0099686930593279
naive_persistence,test,iv_x20_t15,422,0.0140259045902267,0.0103318256432697
naive_persistence,test,iv_x20_t16,422,0.0150352825641563,0.0109238179310508
naive_persistence,test,iv_x20_t17,410,0.0152651431863523,0.0109362257495385
naive_persistence,test,iv_x20_t18,255,0.0153849151324182,0.0107398399191104
naive_persistence,test,iv_x21_t01,50,0.0203889597719577,0.0154787352747443
naive_persistence,test,iv_x21_t02,249,0.0122671371533407,0.0080469889296649
naive_persistence,test,iv_x21_t03,403,0.0070832477720298,0.0047965380909628
naive_persistence,test,iv_x21_t04,422,0.0057042982467236,0.004182479492463
naive_persistence,test,iv_x21_t05,422,0.0063066838688987,0.0046633182189319
naive_persistence,test,iv_x21_t06,422,0.0068345567108332,0.0050931128672542
naive_persistence,test,iv_x21_t07,422,0.0073096127174089,0.0055709443072282
naive_persistence,test,iv_x21_t08,422,0.0079673355753336,0.0060308715044442
naive_persistence,test,iv_x21_t09,422,0.0088403009481988,0.0067262494212662
naive_persistence,test,iv_x21_t10,422,0.0094476592673562,0.0071295537446903
naive_persistence,test,iv_x21_t11,422,0.0103137735186786,0.0076394349461757
naive_persistence,test,iv_x21_t12,422,0.0109464080712632,0.0081494922428577
naive_persistence,test,iv_x21_t13,422,0.0116508194595994,0.0087106852770841
naive_persistence,test,iv_x21_t14,422,0.0122324390081746,0.0090969739367838
naive_persistence,test,iv_x21_t15,422,0.0129844605763468,0.0096083321099881
naive_persistence,test,iv_x21_t16,420,0.0134585303751803,0.0097764680531057
naive_persistence,test,iv_x21_t17,396,0.0139502335996667,0.0104418632512147
naive_persistence,test,iv_x21_t18,235,0.0145576373276385,0.0102373040506199
naive_persistence,test,iv_x22_t01,13,0.0268261668162695,0.0222646291087819
naive_persistence,test,iv_x22_t02,70,0.0159459970768803,0.0110035951160831
naive_persistence,test,iv_x22_t03,226,0.0094058834722727,0.0065649581570771
naive_persistence,test,iv_x22_t04,374,0.0066755290416977,0.0045939122967253
naive_persistence,test,iv_x22_t05,420,0.0060603929882907,0.0043681862475146
naive_persistence,test,iv_x22_t06,422,0.0063235983080778,0.0047037009625585
naive_persistence,test,iv_x22_t07,422,0.0067214096748447,0.0050771239471272
naive_persistence,test,iv_x22_t08,422,0.0074022872293995,0.0055900576774547
naive_persistence,test,iv_x22_t09,422,0.0080486296946177,0.0060720050675034
naive_persistence,test,iv_x22_t10,422,0.0084395747877305,0.0063787004470633
naive_persistence,test,iv_x22_t11,422,0.0092555455684605,0.0069337028428242
naive_persistence,test,iv_x22_t12,422,0.0099602438462427,0.0074474149584355
naive_persistence,test,iv_x22_t13,422,0.0103600848651784,0.007697014797818
naive_persistence,test,iv_x22_t14,422,0.0110888439838784,0.008224790677383
naive_persistence,test,iv_x22_t15,422,0.0117190217592149,0.0086778568991925
naive_persistence,test,iv_x22_t16,408,0.0122428959920056,0.0090256116511002
naive_persistence,test,iv_x22_t17,362,0.0126612469505348,0.0094223889407497
naive_persistence,test,iv_x22_t18,182,0.0135234146756984,0.0101131517303457
naive_persistence,test,iv_x23_t01,1,0.0238215738538706,0.0238215738538706
naive_persistence,test,iv_x23_t02,9,0.0268308588032107,0.022462915657113
naive_persistence,test,iv_x23_t03,58,0.0181334379972035,0.0118733538996344
naive_persistence,test,iv_x23_t04,152,0.0111295798606104,0.0074389574571827
naive_persistence,test,iv_x23_t05,279,0.0064845925090991,0.0048275678831752
naive_persistence,test,iv_x23_t06,363,0.0069959566357247,0.0048113645290101
naive_persistence,test,iv_x23_t07,398,0.0066567814052568,0.0050496550237275
naive_persistence,test,iv_x23_t08,406,0.0066363476772297,0.0050469677191747
naive_persistence,test,iv_x23_t09,418,0.0072667662453512,0.0055488516490408
naive_persistence,test,iv_x23_t10,418,0.0075834012738193,0.0057564845912271
naive_persistence,test,iv_x23_t11,418,0.0082035087485372,0.0062069180893144
naive_persistence,test,iv_x23_t12,418,0.0089655149437805,0.0068069848369223
naive_persistence,test,iv_x23_t13,418,0.009446265093351,0.0071121797452829
naive_persistence,test,iv_x23_t14,416,0.0101514791751723,0.007592008417792
naive_persistence,test,iv_x23_t15,395,0.010643825139514,0.0078970986900856
naive_persistence,test,iv_x23_t16,357,0.010940470752059,0.0081985070996476
naive_persistence,test,iv_x23_t17,241,0.0115304874950159,0.0088465888086944
naive_persistence,test,iv_x23_t18,109,0.011961846806505,0.0093946617609039
