quote_date,total_delta_before,total_gamma_before,hedge_underlying_units_delta_only,hedge_option_contract_key,hedge_option_type,hedge_option_strike,hedge_option_expiration,hedge_option_price_t,hedge_option_price_tplus1,hedge_option_delta,hedge_option_gamma,hedge_option_units,hedge_underlying_units_delta_gamma,residual_delta_after_hedge,residual_gamma_after_hedge,hedge_status
2023-06-02,-0.0211727515201024,-1.5598088889231908e-05,0.0211727515201024,^SPX|SPXW|2023-07-21|4285.000000|C,C,4285.0,2023-07-21,90.0,83.4,0.5505761396889007,0.0019849928976687,0.0078580074052408,0.016846320137278,0.0,0.0,hedged
2023-06-05,-0.2870916584329541,-0.000285856114566,0.2870916584329541,^SPX|SPXW|2023-08-18|4280.000000|C,C,4280.0,2023-08-18,121.2,119.6,0.5726507944840337,0.0015468033230145,0.1848044352587095,0.1812632517578809,0.0,0.0,hedged
2023-06-06,-0.1002745281245969,-0.0001055452936718,0.1002745281245969,^SPX|SPXW|2023-07-07|4285.000000|P,P,4285.0,2023-07-07,50.0,54.5,-0.452736618776912,0.0027675203632691,0.0381371335411328,0.1175406050138529,0.0,0.0,hedged
2023-06-07,0.0792428038228326,6.42214760682782e-05,-0.0792428038228326,^SPX|SPXW|2023-07-21|4270.000000|C,C,4270.0,2023-07-21,80.7,95.35,0.5542503319469991,0.0022439957576406,-0.028619250214538,-0.0633805748913506,0.0,0.0,hedged
2023-06-08,0.1811476988167359,3.492281969435204e-05,-0.1811476988167359,^SPX|SPX|2023-07-21|4295.000000|C,C,4295.0,2023-07-21,77.80000000000001,81.25,0.5329691334809192,0.0021935430700102,-0.0159207358049227,-0.1726624380504076,0.0,0.0,hedged
2023-06-09,-0.2081833968217356,4.796427216152773e-05,0.2081833968217356,^SPX|SPX|2023-07-21|4300.000000|C,C,4300.0,2023-07-21,77.95,103.0,0.5655437953701009,0.0023961104247151,-0.0200175549785977,0.2195042008383614,0.0,0.0,hedged
2023-06-12,0.0230578159782212,-0.000111366056042,-0.0230578159782212,^SPX|SPX|2023-07-21|4335.000000|C,C,4335.0,2023-07-21,79.2,95.6,0.5697012019155457,0.0023841984751479,0.0467100609294229,-0.0496685938312618,0.0,0.0,hedged
2023-06-13,0.1756436722101714,0.0001592357756243,-0.1756436722101714,^SPX|SPXW|2023-07-31|4365.000000|C,C,4365.0,2023-07-31,88.55,86.8,0.555669703035303,0.0020481691732626,-0.0777454214734827,-0.1324428969476468,0.0,0.0,hedged
2023-06-14,0.1103224607708842,-3.681881176643661e-05,-0.1103224607708842,^SPX|SPXW|2023-07-31|4365.000000|C,C,4365.0,2023-07-31,86.8,131.1,0.4996274227962976,0.0017681982382523,0.020822785007877,-0.1207260951798111,0.0,0.0,hedged
2023-06-15,-0.0262070437596902,-3.734056459331286e-05,0.0262070437596902,^SPX|SPX|2023-07-21|4430.000000|C,C,4430.0,2023-07-21,73.69999999999999,63.4,0.5077986418728618,0.0021510658099229,0.0173590991131281,0.0173921168059073,0.0,0.0,hedged
