model,split,node,n_predictions,rmse,mae
arima,test,iv_x13_t04,422,0.0105709957004287,0.0076707237158979
arima,test,iv_x13_t05,422,0.0115934511541932,0.0081396973599805
arima,test,iv_x13_t06,422,0.0116446973016741,0.0083322082404971
arima,test,iv_x13_t07,422,0.01176044601702,0.0084351015318344
arima,test,iv_x13_t08,422,0.0127012600303983,0.0086279195444208
arima,test,iv_x13_t09,422,0.0093582950486327,0.0065097990406003
arima,test,iv_x13_t10,422,0.011035363785378,0.0074366100407896
arima,test,iv_x13_t11,422,0.0112114340765269,0.0078416799213696
arima,test,iv_x13_t12,422,0.0109759580189134,0.0079063058168567
arima,test,iv_x13_t13,422,0.0117866092283369,0.0082828067645161
arima,test,iv_x13_t14,422,0.0119862521414157,0.008545637297358
arima,test,iv_x13_t15,422,0.0131334172007794,0.0093075787869104
arima,test,iv_x13_t16,422,0.014728689979708,0.0101002172702731
arima,test,iv_x13_t17,422,0.0135143747728897,0.0097338412323436
arima,test,iv_x13_t18,278,0.0121703721888387,0.0081112261747638
arima,test,iv_x13_t19,23,0.0292294254249799,0.0196286604959059
arima,test,iv_x14_t01,422,0.0101822274053391,0.0070711641020055
arima,test,iv_x14_t02,422,0.0108251107389961,0.0073784193549076
arima,test,iv_x14_t03,422,0.0105695152573165,0.0074625609251536
arima,test,iv_x14_t04,422,0.0101951233591203,0.0074817132903614
arima,test,iv_x14_t05,422,0.0110182816825414,0.0080939195226988
arima,test,iv_x14_t06,422,0.0122636109523449,0.0089640712515258
arima,test,iv_x14_t07,422,0.0118222274949898,0.0084054646078193
arima,test,iv_x14_t08,422,0.0135783323456386,0.0094578559868554
arima,test,iv_x14_t09,422,0.0106238726209127,0.007581192299809
arima,test,iv_x14_t10,422,0.0105495488506971,0.0075360519158582
arima,test,iv_x14_t11,422,0.0127171557201895,0.0085284826446039
arima,test,iv_x14_t12,422,0.0134194463209176,0.00881195829009
arima,test,iv_x14_t13,422,0.014132625961586,0.0090971191193571
arima,test,iv_x14_t14,422,0.0151014352796709,0.0101149155255616
arima,test,iv_x14_t15,422,0.0139863887328975,0.009804729892606
arima,test,iv_x14_t16,422,0.013960735825173,0.0098908489225733
